County,Per capita income,Rent,Property Cost,Population,Median Household Income
Alameda,97754,2837,1250000,1796932,121190
Alpine,67551,2010,434031,604076,71646
Amador,48463,2077,490000,257457,74356
Butte,54974,1543,436250,334950,184966
Calaveras,56001,2068,475000,16917,73175
Colusa,55502,2034,432865,46848,72963
Contra Costa,95047,2793,844440,1372893,119667
Del Norte,43677,2010,382500,806177,57297
El Dorado,82062,2388,657000,16934,104859
Fresno,50549,1827,425000,631379,68693
Glenn,51055,1871,321000,692266,63247
Humboldt,54043,1398,421920,20673,209436
Imperial,45188,2150,336500,105590,55523
Inyo,61501,2178,372733,622435,64332
Kern,44862,1686,394500,492318,65981
Kings,42525,3296,382500,87398,136927
Lake,45623,1916,325000,747417,781721
Lassen,40700,2152,225000,720520,60308
Los Angeles,74142,2769,792500,7938792,82455
Madera,46406,1920,453000,54692,71273
Marin,171177,3556,1475000,109595,135960
Mariposa,61230,1934,480000,673560,66513
Mendocino,57310,1963,560000,716745,63621
Merced,46188,1848,385000,140023,65253
Modoc,56559,2046,393315,722935,51166
Mono,65296,1907,970000,615762,79105
Monterey,65123,2494,897000,281328,91450
Napa,86863,3023,1055000,79403,98580
Nevada,40501,2593,555000,603183,124718
Orange,83553,3060,373131,2483719,626964
Placer,81791,2474,669000,729812,106114
Plumas,59387,2058,412000,139780,66725
Riverside,51415,2511,385809,1753111,86350
Sacramento,61558,2134,535000,911150,83985
San Benito,61693,2018,777550,35876,106560
San Bernardino,49270,2370,495000,1686219,78779
San Diego,74326,2932,1000000,2288365,98365
San Francisco,155819,3393,1576000,649909,135366
San Joaquin,54183,2332,535000,611414,84738
San Luis Obispo,67951,2551,868810,63420,88578
San Mateo,175070,3314,1950000,500172,143795
Santa Barbara,75720,3123,1295000,218671,89334
Santa Clara,144399,3342,1852500,1397031,150502
Santa Cruz,47898,3309,1200000,90272,152723
Shasta,54120,1454,365000,142922,66312
Sierra,47877,1901,412199,609545,104359
Siskiyou,51788,1838,398095,784801,51593
Solano,58273,2387,599000,358074,92711
Sonoma,77900,2541,850000,224291,96312
Stanislaus,51015,1867,465000,354079,75249
Sutter,52005,1889,425000,55163,66071
Tehama,47315,2188,312050,707168,58900
Trinity,36314,2151,205000,86836,99114
Tulare,47295,1633,372000,273383,64313
Tuolumne,52806,1923,389500,297873,70108
Ventura,76375,2894,915000,509454,101981
Yolo,64279,2278,622500,146852,82359
Yuba,48204,1874,449500,81411,63626
